name,team_abb,team_name,ortg_month_before,ortg_bubble_seeding,ortg_bubble_playoffs,drtg_month_before,drtg_bubble_seeding,drtg_bubble_playoffs,netrtg_month_before,netrtg_bubble_seeding,netrtg_bubble_playoffs
Donte DiVincenzo,MIL,Milwaukee Bucks,106.4,107.1,101.7,102.4,108.9,102.8,4,-1.8,-1.1
Dorian Finney-Smith,DAL,Dallas Mavericks,112.2,115,107.3,102.1,112.7,115.4,10,2.3,-8.1
Duncan Robinson,MIA,Miami Heat,116.4,112.1,114.1,104.2,105.9,112.9,12.2,6.2,1.2
Eric Bledsoe,MIL,Milwaukee Bucks,108.3,107.6,110,101.6,115,106,6.7,-7.4,4
Evan Fournier,ORL,Orlando Magic,112.8,116.8,101.6,121,103.6,117.5,-8.2,13.2,-15.9
Fred VanVleet,TOR,Toronto Raptors,102.1,102.2,106.4,94.5,100,105.9,7.6,2.2,0.4
Garrett Temple,BKN,Brooklyn Nets,108.5,117.3,103.4,106.3,117.2,116.7,2.2,0.2,-13.3
Gary Trent Jr.,POR,Portland Trail Blazers,103.2,125.4,100,115.4,115.3,113,-12.2,10.1,-13
Giannis Antetokounmpo,MIL,Milwaukee Bucks,112.9,115.5,108.4,89.5,107,104.8,23.5,8.5,3.6
Glenn Robinson III,PHI,Philadelphia 76ers,119.9,113.8,NA,122.9,118.2,NA,-3,-4.4,NA
Gordon Hayward,BOS,Boston Celtics,110.4,119.1,117.4,104.8,108,116.4,5.7,11.1,1.1
Gorgui Dieng,MEM,Memphis Grizzlies,103.7,106,NA,103.7,106.4,NA,0,-0.4,NA
Harrison Barnes,SAC,Sacramento Kings,113.7,107.1,NA,115.8,121,NA,-2.1,-13.9,NA
Hassan Whiteside,POR,Portland Trail Blazers,113.7,120.4,103.1,112.6,109.1,112.2,1.1,11.3,-9.2
Isaac Bonga,WAS,Washington Wizards,109.3,94,NA,99.6,104.7,NA,9.7,-10.7,NA
Ish Smith,WAS,Washington Wizards,107,102.9,NA,106.8,109.9,NA,0.2,-6.9,NA
Ivica Zubac,LAC,LA Clippers,113.1,119.7,121.5,101.6,104.2,103.8,11.5,15.5,17.7
JJ Redick,NOP,New Orleans Pelicans,118.9,107,NA,114.2,115.5,NA,4.7,-8.5,NA
Ja Morant,MEM,Memphis Grizzlies,105.4,105.4,NA,109.1,107.3,NA,-3.7,-1.8,NA
JaKarr Sampson,IND,Indiana Pacers,105.7,100,101,99,98.6,102.9,6.7,1.4,-1.9
JaVale McGee,LAL,Los Angeles Lakers,106.8,90.7,112.5,102.1,114.5,106.1,4.7,-23.8,6.5
Jae Crowder,MIA,Miami Heat,108.8,110.1,110.3,115,105.8,111.3,-6.3,4.3,-1
Jakob Poeltl,SAS,San Antonio Spurs,105.1,124.4,NA,103.3,110.4,NA,1.8,14.1,NA
Jamal Murray,DEN,Denver Nuggets,111.9,116.3,114.2,109.7,121.8,113.9,2.3,-5.5,0.3
James Harden,HOU,Houston Rockets,114.1,115.3,108.1,106.7,108.1,104.8,7.4,7.3,3.4
Jaren Jackson Jr.,MEM,Memphis Grizzlies,103.2,107.1,NA,117.6,102.9,NA,-14.4,4.2,NA
Jarrett Allen,BKN,Brooklyn Nets,101.7,120,103.9,108,115.6,116.5,-6.4,4.3,-12.6
Jaylen Brown,BOS,Boston Celtics,114.3,116.1,111.2,111.5,106.1,107.3,2.8,10,3.9
Jayson Tatum,BOS,Boston Celtics,112.3,117.2,110.1,108,103.2,103.9,4.3,14,6.2
Jerami Grant,DEN,Denver Nuggets,113.1,119.2,110.5,115.6,121.3,116,-2.5,-2.1,-5.5
Jimmy Butler,MIA,Miami Heat,114,111.4,114.1,115.4,101.3,111.6,-1.3,10.1,2.5
Joe Harris,BKN,Brooklyn Nets,108.7,120.4,105.9,112.2,127.9,107.9,-3.5,-7.5,-2
Joe Ingles,UTA,Utah Jazz,113.1,109.3,117.2,110.7,110.1,111.3,2.4,-0.9,6
Joel Embiid,PHI,Philadelphia 76ers,114.4,113.8,101.7,105.7,106.3,120.9,8.7,7.5,-19.2
Jonas Valanciunas,MEM,Memphis Grizzlies,105.5,105.4,NA,107.1,106.5,NA,-1.6,-1.1,NA
Josh Richardson,PHI,Philadelphia 76ers,114.7,117.8,108.3,106.6,118.1,114,8.1,-0.2,-5.7
Jrue Holiday,NOP,New Orleans Pelicans,115.8,104.9,NA,105.5,105.3,NA,10.3,-0.4,NA
Kawhi Leonard,LAC,LA Clippers,114.3,127,113.5,106.3,108.1,110.8,7.9,18.8,2.7
Kemba Walker,BOS,Boston Celtics,109.9,107.1,112.1,108.1,104.1,106,1.8,2.9,6.2
Kendrick Nunn,MIA,Miami Heat,118.2,95.2,106.1,115.6,112.4,105,2.6,-17.2,1.1
Kentavious Caldwell-Pope,LAL,Los Angeles Lakers,106.4,90.9,116.9,101.8,109.2,110.7,4.7,-18.3,6.2
Khem Birch,ORL,Orlando Magic,58.1,107.7,101,68.3,119.2,96.5,-10.2,-11.5,4.5
Khris Middleton,MIL,Milwaukee Bucks,110.1,112.1,112.1,99.1,111.5,105.3,11,0.6,6.8
Kristaps Porzingis,DAL,Dallas Mavericks,118.3,119.1,114.3,101.6,124.6,117.6,16.7,-5.5,-3.3
Kyle Anderson,MEM,Memphis Grizzlies,100.9,109.2,NA,106.2,105.5,NA,-5.3,3.7,NA
