"","Date","Team","Acquired","Relinquished","Notes"
"2758","2001-07-23","Celtics"," Chris Carr (Dean)","","activated from IL"
"3191","2001-07-23","Celtics"," Kenny Anderson","","activated from IL"
"4191","2001-07-23","Celtics"," Randy Brown","","activated from IL"
"5191","2001-07-23","Hawks"," Theo Ratliff","","activated from IL"
"6191","2001-07-23","Heat"," Todd Fuller","","activated from IL"
"7191","2001-07-23","Hornets"," Lee Nailon","","activated from IL"
"8191","2001-07-23","Hornets"," Tim James","","activated from IL"
"9191","2001-07-23","Jazz"," Quincy Lewis","","activated from IL"
"10191","2001-07-23","Jazz"," Scott Padgett","","activated from IL"
"11191","2001-07-23","Kings"," Art Long","","activated from IL"
"12191","2001-07-23","Magic"," Cory Alexander","","activated from IL"
"13191","2001-07-23","Magic"," Grant Hill","","activated from IL"
"14191","2001-07-23","Pacers"," Lari Ketner","","activated from IL"
"15191","2001-07-23","Pistons"," Billy Owens","","activated from IL"
"16191","2001-07-23","Pistons"," Michael Curry","","activated from IL"
"17191","2001-07-23","Rockets"," Jason Collier","","activated from IL"
"18191","2001-07-23","Rockets"," Maurice Taylor","","activated from IL"
"19191","2001-07-23","Sonics"," Jelani McCoy","","activated from IL"
"20191","2001-07-23","Timberwolves"," Andrae Patterson","","activated from IL"
"21216","2001-07-23","Timberwolves"," Sam Jacobson","","activated from IL"
"22199","2001-10-29","76ers",""," Alvin Jones","placed on IL with right knee tendinitis"
"23191","2001-10-29","76ers",""," Eric Snow","placed on IL with broken left thumb"
"24191","2001-10-29","76ers",""," Samuel Dalembert","placed on IL with left knee tendinitis"
"25191","2001-10-29","Blazers",""," Chris Dudley","placed on IR with right shoulder rotator cuff weakness"
"26191","2001-10-29","Blazers",""," Mitchell Butler","placed on IL with left knee/quadricaps tendinitis"
"2759","2001-10-29","Blazers",""," Rick Brunson","placed on IR with sprained left metatarsal"
"3192","2001-10-29","Bucks",""," Darvin Ham","placed on IL recovering from surgery on right knee"
"4192","2001-10-29","Bulls",""," Eddie Robinson","placed on IR with non-acute fracture of left big toe"
"5192","2001-10-29","Bulls",""," Jamal Crawford","placed on IL with torn ACL in left knee"
"6192","2001-10-29","Bulls",""," Ron Artest / Metta World Peace","placed on IL recovering from surgery on right ring finger"
"7192","2001-10-29","Cavaliers",""," Jeff Trepagnier","placed on IL with sprained left ankle"
"8192","2001-10-29","Cavaliers",""," Tyrone Hill","placed on IL with back spasms"
"9192","2001-10-29","Cavaliers",""," Zydrunas Ilgauskas","placed on IL recovering from surgery on left foot (out until mid-Dec)"
"10192","2001-10-29","Celtics",""," Randy Brown","placed on IR with pulled/strained right groin"
"11192","2001-10-29","Celtics",""," Roshown McLeod","placed on IR with nerve damage in left leg"
"12192","2001-10-29","Clippers",""," Harold Jamison","placed on IR with bruised left shin"
"13192","2001-10-29","Grizzlies",""," Antonis Fotsis","placed on IL with right knee tendinitis"
"14192","2001-10-29","Grizzlies",""," Bryant Reeves","placed on IL with back injury"
"15192","2001-10-29","Hawks",""," Alan Henderson","placed on IL with right knee inflammation"
"16192","2001-10-29","Heat",""," Chris Gatling","placed on IR with lack of conditioning"
"17192","2001-10-29","Heat",""," Ernest Brown","placed on IR with dislocated/jammed right thumb"
"18192","2001-10-29","Heat",""," Malik Allen","placed on IL with sprained right ankle"
"19192","2001-10-29","Hornets",""," George Lynch","placed on IR with surgery on left foot"
"20192","2001-10-29","Hornets",""," Jerome Moiso","placed on IL with back spasms / left knee tendinitis (P)"
"21217","2001-10-29","Hornets",""," Kirk Haston","placed on IL with back spasms"
"22200","2001-10-29","Jazz",""," Jarron Collins","placed on IL with sprained left thumb"
"23192","2001-10-29","Kings",""," Chris Webber","placed on IL with sprained left ankle"
"24192","2001-10-29","Knicks",""," Larry Robinson (b. 1968-01-11)","placed on IL with right knee patella tendinitis"
"25192","2001-10-29","Knicks",""," Marcus Camby","placed on IL with plantar fasciatis in left foot"
"26192","2001-10-29","Lakers",""," Derek Fisher","placed on IL with fractured right foot"
"2760","2001-10-29","Lakers",""," Joe Crispin","placed on IR with injured knee / surgery on left wrist (P)"
"3193","2001-10-29","Lakers",""," Mark Madsen","placed on IL with abdominal strain / right knee tendinitis (P)"
"4193","2001-10-29","Magic",""," Jeryl Sasser","placed on IL with right knee patella tendinitis"
"5193","2001-10-29","Magic",""," Mike Miller","placed on IL with chip fracture in right foot"
"6193","2001-10-29","Mavericks",""," Darrick Martin","placed on IL with broken right hand"
"7193","2001-10-29","Mavericks",""," Eduardo Najera","placed on IL with left knee tendinitis"
"8193","2001-10-29","Mavericks",""," Ruben Wolkowyski","placed on IL with sprained right ankle"
"9193","2001-10-29","Nets",""," Brian Scalabrine","placed on IL with broken right foot"
"10193","2001-10-29","Nets",""," Jamie Feick","placed on IL"
"11193","2001-10-29","Nuggets",""," Antonio McDyess","placed on IR recovering from knee surgery"
"12193","2001-10-29","Nuggets",""," Calbert Cheaney","placed on IL with sprained left knee"
"13193","2001-10-29","Nuggets",""," Kenny Satterfield","placed on IR with sprained thumb"
"14193","2001-10-29","Pacers",""," Jamison Brewer","placed on IL with sprained right toe"
"15193","2001-10-29","Pacers",""," Norm Richardson","placed on IL with sprained left ankle"
"16193","2001-10-29","Pistons",""," Brian Cardinal","placed on IL with tendinitis in both knees"
"17193","2001-10-29","Pistons",""," Damon Jones","placed on IL with right knee tendinitis"
"18193","2001-10-29","Pistons",""," Ratko Varda","placed on IL with back spasms"
"19193","2001-10-29","Raptors",""," Dell Curry","placed on IL with strained left hamstring"
"20193","2001-10-29","Raptors",""," Mamadou N'diaye","placed on IL with lower back injury"
"21218","2001-10-29","Raptors",""," Michael Stewart","placed on IL with sore left knee"
"22201","2001-10-29","Rockets",""," Dan Langhi","placed on IL with sprained right ankle"
"23193","2001-10-29","Rockets",""," Jason Collier","placed on IL with medial tibial periostitis"
"24193","2001-10-29","Rockets",""," Maurice Taylor","placed on IL with torn right Achilles tendon"
"25193","2001-10-29","Sonics",""," Predrag Drobnjak / Peja Drobnjak","placed on IL with sprained left ankle"
"26193","2001-10-29","Sonics",""," Shammond Williams","placed on IR with fractured left ring finger"
"2761","2001-10-29","Spurs",""," Charles Smith (Cornelius)","placed on IL"
"3194","2001-10-29","Spurs",""," Mark Bryant","placed on IL"
"4194","2001-10-29","Suns",""," Dan Majerle","placed on IL with fractured right ring finger"
"5194","2001-10-29","Suns",""," Daniel Santiago","placed on IL with plantar fasciatis"
"6194","2001-10-29","Suns",""," Vinny Del Negro","placed on IL with foot injury"
"7194","2001-10-29","Timberwolves",""," Maurice Evans","placed on IL with leg injury"
"8194","2001-10-29","Timberwolves",""," Tom Hammonds","placed on IL with knee injury"
"9194","2001-10-29","Timberwolves",""," William Avery / Will Avery","placed on IL with knee injury"
"10194","2001-10-29","Warriors",""," Cedric Henderson (E.)","placed on IL with left knee tendinitis"
"11194","2001-10-29","Warriors",""," Dean Oliver","placed on IL with strained right hamstring"
"12194","2001-10-29","Wizards",""," Brendan Haywood","placed on IL with torn ligament in left thumb"
"13194","2001-10-29","Wizards",""," Hubert Davis","placed on IR with torn right hamstring"
"14194","2001-10-29","Wizards",""," Loy Vaught","placed on IL with lower back spasms"
"15194","2001-11-01","Celtics",""," Joseph Forte","placed on IL with lower back spasms"
"16194","2001-11-05","Hawks",""," Theo Ratliff","placed on IL with strained right hip flexor and groin pull"
"17194","2001-11-06","Hawks",""," Toni Kukoc","placed on IR with a strained left / right (P) quadriceps"
"18194","2001-11-06","Sonics",""," Antonio Harvey","placed on IL with right knee patella tendinitis"
"19194","2001-11-07","Cavaliers",""," Bryant Stith","placed on IR with right hip flexor injury"
"20194","2001-11-07","Cavaliers"," Jeff Trepagnier","","activated from IL"
"21219","2001-11-08","Clippers"," Harold Jamison","","activated from IL"
"22202","2001-11-08","Mavericks",""," Evan Eschmeyer","placed on IL with sprained left ankle"
"23194","2001-11-08","Mavericks"," Eduardo Najera","","activated from IL"
"24194","2001-11-08","Suns",""," Charlie Bell","placed on IL with sprained left ankle"
"25194","2001-11-08","Suns"," Vinny Del Negro","","activated from IL"
"26194","2001-11-08","Warriors",""," Gilbert Arenas","placed on IL with strained lower back"
"2762","2001-11-09","76ers",""," Matt Geiger","placed on IL with patella femoral arthritis in both knees"
"3195","2001-11-09","76ers"," Alvin Jones","","activated from IL"
"4195","2001-11-09","Grizzlies",""," Michael Dickerson","placed on IL with strained right abductor"
"5195","2001-11-09","Grizzlies"," Antonis Fotsis","","activated from IL"
"6195","2001-11-09","Magic",""," Monty Williams","placed on IL with strained right hamstring"
"7195","2001-11-09","Magic"," Mike Miller","","activated from IL"
"8195","2001-11-09","Warriors"," Cedric Henderson (E.)","","activated from IL"
"9195","2001-11-10","Bulls",""," A.J. Guyton","placed on IL with left ankle tendinitis"
"10195","2001-11-10","Bulls"," Eddie Robinson","","activated from IL"
"11195","2001-11-10","Hawks",""," Shareef Abdur-Rahim","placed on IL with sprained left knee"
"12195","2001-11-10","Hawks"," Toni Kukoc","","activated from IL"
"13195","2001-11-10","Heat",""," Kendall Gill","placed on IR with fractured left pinky"
"14195","2001-11-10","Heat"," Chris Gatling","","activated from IL"
"15195","2001-11-10","Lakers"," Joe Crispin","","activated from IL"
"16195","2001-11-10","Pistons",""," Victor Alexander","placed on IL with left knee patella tendinitis"
"17195","2001-11-10","Pistons"," Damon Jones","","activated from IL"
"18195","2001-11-11","Sonics",""," Vin Baker","placed on IL with bruised left knee"
"19195","2001-11-13","Blazers",""," Damon Stoudamire","placed on IL with right knee tendinitis"
"20195","2001-11-13","Blazers"," Rick Brunson","","activated from IL"
"21220","2001-11-13","Hawks",""," Chris Crawford (Lee)","placed on IL with a torn ACL in left knee"
"22203","2001-11-13","Hawks"," Shareef Abdur-Rahim","","activated from IL"
"23195","2001-11-13","Mavericks",""," Eduardo Najera","placed on IL with bruised right knee"
"24195","2001-11-13","Mavericks"," Darrick Martin","","activated from IL"
"25195","2001-11-13","Sonics"," Shammond Williams","","activated from IL"
"26195","2001-11-14","Celtics",""," Eric Williams","placed on IL with left knee tendinitis"
"2763","2001-11-14","Celtics"," Roshown McLeod","","activated from IL"
"3196","2001-11-14","Raptors",""," Jerome Williams","placed on IL with bruised right knee"
"4196","2001-11-14","Raptors"," Dell Curry","","activated from IL"
"5196","2001-11-15","Clippers",""," Keyon Dooling","placed on IL with high left ankle sprain (out 4-6 weeks)"
"6196","2001-11-15","Heat",""," Brian Grant","placed on IR with bone bruise in right instep"
"7196","2001-11-15","Heat"," Ernest Brown","","activated from IL"
"8196","2001-11-16","Suns"," Dan Majerle","","activated from IL"
"9196","2001-11-16","Wizards",""," Tyronn Lue","placed on IL with sprained ligaments in right hand"
"10196","2001-11-16","Wizards"," Hubert Davis","","activated from IL"
"11196","2001-11-17","Celtics",""," Roshown McLeod","placed on IR with lower left leg nerve damage"
"12196","2001-11-17","Celtics"," Joseph Forte","","activated from IL"
"13196","2001-11-17","Jazz",""," Bryon Russell","placed on IL with strained groin"
"14196","2001-11-17","Jazz"," Jarron Collins","","activated from IL"
"15196","2001-11-17","Pacers",""," Travis Best","placed on IL with strained right hamstring"
"16196","2001-11-17","Pacers"," Jamison Brewer","","activated from IL"
"17196","2001-11-17","Rockets",""," Tierre Brown","placed on IL with plantar fasciatis in left foot"
"18196","2001-11-17","Rockets"," Dan Langhi","","activated from IL"
"19196","2001-11-18","Timberwolves"," Tom Hammonds","","activated from IL"
"20196","2001-11-19","Grizzlies",""," Antonis Fotsis","placed on IL with right knee tendinitis"
"21221","2001-11-19","Hornets"," Jerome Moiso","","activated from IL"
"22204","2001-11-20","Blazers",""," Scottie Pippen","placed on IL with bruised right knee"
"23196","2001-11-20","Blazers"," Chris Dudley","","activated from IL"
"24196","2001-11-20","Bulls"," Ron Artest / Metta World Peace","","activated from IL (date 12-20 per Bulls media guide)"
"25196","2001-11-20","Heat",""," Ernest Brown","placed on IR with jammed right thumb"
"26196","2001-11-20","Heat"," Malik Allen","","activated from IL"
"2764","2001-11-20","Hornets",""," Jamal Mashburn","placed on IL with pulled right groin"
"3197","2001-11-20","Mavericks",""," Omar Cook","placed on IL with left knee tendinitis"
"4197","2001-11-20","Mavericks"," Evan Eschmeyer","","activated from IL"
"5197","2001-11-20","Nuggets"," Calbert Cheaney","","activated from IL"
"6197","2001-11-20","Sonics",""," Jerome James","placed on IL with sprained right foot"
"7197","2001-11-20","Sonics"," Predrag Drobnjak / Peja Drobnjak","","activated from IL"
"8197","2001-11-21","Bulls",""," Eddie Robinson","placed on IR with left toe sesamoiditis"
"9197","2001-11-21","Nuggets",""," Zendon Hamilton","placed on IL with sprained right wrist"
"10197","2001-11-21","Spurs",""," Stephen Jackson","placed on IL with patella tendinitis"
"11197","2001-11-21","Spurs"," Charles Smith (Cornelius)","","activated from IL"
"12197","2001-11-21","76ers"," Matt Geiger","","activated from IL"
"13197","2001-11-21","Bulls"," A.J. Guyton","","activated from IL"
"14197","2001-11-22","Knicks",""," Clarence Weatherspoon","placed on IL with partially torn peroneal tendon in right foot"
"15197","2001-11-22","Raptors",""," Michael Bradley","placed on IL with bruised right clavicle"
"16197","2001-11-22","Raptors"," Jerome Williams","","activated from IL"
"17197","2001-11-23","76ers",""," Alvin Jones","placed on IL with sprained left ankle"
"18197","2001-11-23","Blazers",""," Ruben Boumtje Boumtje","placed on IL with left knee patella tendinitis"
"19197","2001-11-23","Blazers"," Damon Stoudamire","","activated from IL"
"20197","2001-11-23","Hornets"," Kirk Haston","","activated from IL"
"21222","2001-11-23","Mavericks",""," Wang Zhizhi / Wang Zhi-Zhi","placed on IL with right Achilles tendinitis"
"22205","2001-11-23","Mavericks"," Eduardo Najera","","activated from IL"
"23197","2001-11-23","Nuggets",""," Tariq Abdul-Wahad / Olivier Saint-Jean","placed on IL with surgery on left knee"
"24197","2001-11-23","Nuggets"," Kenny Satterfield","","activated from IL"
"25197","2001-11-24","Knicks"," Larry Robinson (b. 1968-01-11)","","activated from IL"
"26197","2001-11-25","Lakers",""," Jelani McCoy","placed on IL with bone bruise in right foot"
"2765","2001-11-25","Lakers"," Derek Fisher","","activated from IL"
"3198","2001-11-25","Lakers"," Mark Madsen","","activated from IL"
"4198","2001-11-25","Sonics",""," Antonio Harvey","placed on IL with right knee patella tendinitis"
"5198","2001-11-25","Sonics"," Vin Baker","","activated from IL"
"6198","2001-11-26","Knicks",""," Larry Robinson (b. 1968-01-11)","placed on IL with right knee patella tendinitis"
"7198","2001-11-26","Knicks"," Marcus Camby","","activated from IL"
"8198","2001-11-26","Wizards",""," Bobby Simmons","placed on IL with knee tendinitis"
"9198","2001-11-26","Wizards"," Brendan Haywood","","activated from IL"
"10198","2001-11-27","Celtics",""," Walter McCarty","placed on IL with sprained left big toe"
"11198","2001-11-27","Celtics"," Eric Williams","","activated from IL"
"12198","2001-11-27","Mavericks",""," Greg Buckner","placed on IL with sore left knee"
"13198","2001-11-27","Mavericks"," Ruben Wolkowyski","","activated from IL"
"14198","2001-11-27","Rockets",""," Steve Francis","placed on IL with plantar fasciatis in left foot (out 4-6 weeks)"
"15198","2001-11-27","Rockets"," Tierre Brown","","activated from IL"
"16198","2001-11-28","Bucks",""," Greg Foster","placed on IR with cervical bulging disc"
"17198","2001-11-28","Wizards",""," Tyrone Nesby","placed on IL with strained lower back"
"18198","2001-11-28","Wizards"," Tyronn Lue","","activated from IL"
"19198","2001-12-01","Blazers",""," Erick Barkley","placed on IL with left knee patella tendinitis"
"20198","2001-12-01","Blazers"," Ruben Boumtje Boumtje","","activated from IL"
"21223","2001-12-01","Blazers"," Scottie Pippen","","activated from IL"
"22206","2001-12-01","Cavaliers",""," Michael Doleac","placed on IR with stress fracture of left ankle"
"23198","2001-12-01","Cavaliers"," Bryant Stith","","activated from IL"
"24198","2001-12-01","Pacers",""," Carlos Rogers","placed on IL with upper respiratory infection"
"25198","2001-12-01","Pacers"," Travis Best","","activated from IL"
"26198","2001-12-02","Mavericks",""," Donnell Harvey","placed on IL with bruised ribs"
"2766","2001-12-02","Mavericks"," Wang Zhizhi / Wang Zhi-Zhi","","activated from IL"
"3199","2001-12-03","76ers"," Samuel Dalembert","","activated from IL"
"4199","2001-12-03","Cavaliers",""," Jeff Trepagnier","placed on IL with right knee tendinitis"
"5199","2001-12-03","Cavaliers"," Zydrunas Ilgauskas","","activated from IL"
"6199","2001-12-04","Heat",""," Malik Allen","placed on IR with left knee/quadricep tendinitis"
"7199","2001-12-04","Heat"," Brian Grant","","activated from IL"
"8199","2001-12-04","Nuggets",""," Chris Andersen","placed on IL with strained left shoulder"
"9199","2001-12-04","Nuggets"," Zendon Hamilton","","activated from IL"
"10199","2001-12-04","Sonics",""," Desmond Mason","placed on IR with bruised/sprained right knee"
"11199","2001-12-05","Celtics",""," Joseph Forte","placed on IL with a sprained right ankle"
"12199","2001-12-05","Celtics"," Randy Brown","","activated from IL"
"13199","2001-12-06","Grizzlies",""," Lorenzen Wright","placed on IR with fractured left knee (out 1-2 months)"
"14199","2001-12-06","Grizzlies"," Antonis Fotsis","","activated from IL"
"15199","2001-12-07","Celtics",""," Randy Brown","placed on IL with strained right groin"
"16199","2001-12-07","Celtics"," Walter McCarty","","activated from IL"
"17199","2001-12-07","Magic",""," Grant Hill","placed on IR with sprained/sore left foot"
"18199","2001-12-07","Magic"," Monty Williams","","activated from IL"
"19199","2001-12-09","Kings",""," Lawrence Funderburke","placed on IL with right Achilles tendinitis"
"20199","2001-12-09","Kings"," Chris Webber","","activated from IL"
"21224","2001-12-09","Raptors",""," Carlos Arroyo","placed on IL with right Achilles tendinitis"
"22207","2001-12-09","Raptors"," Michael Bradley","","activated from IL"
"23199","2001-12-10","76ers",""," Craig Claxton / Speedy Claxton","placed on IL with sprained left ankle"
"24199","2001-12-10","76ers"," Eric Snow","","activated from IL"
"25199","2001-12-11","Sonics"," Antonio Harvey","","activated from IL"
"26199","2001-12-11","Wizards",""," Courtney Alexander","placed on IL with bruised left shin and sprained left ankle"
"2767","2001-12-11","Wizards"," Tyrone Nesby","","activated from IL"
"3200","2001-12-12","Sonics",""," Calvin Booth","placed on IL with sprained right ankle"
"4200","2001-12-12","Timberwolves",""," Felipe Lopez","placed on IL with bruised left hip"
"5200","2001-12-12","Timberwolves"," William Avery / Will Avery","","activated from IL"
"6200","2001-12-13","Pacers",""," Primoz Brezec","placed on IL with sprained right ankle"
"7200","2001-12-13","Pacers"," Carlos Rogers","","activated from IL"
"8200","2001-12-14","Blazers",""," Scottie Pippen","placed on IL with bruised right knee"
"9200","2001-12-14","Blazers"," Mitchell Butler","","activated from IL"
"10200","2001-12-14","Heat"," Kendall Gill","","activated from IL"
"11200","2001-12-14","Wizards",""," Christian Laettner","placed on IR with fractured left leg"
"12200","2001-12-14","Wizards"," Bobby Simmons","","activated from IL"
"13200","2001-12-15","Blazers",""," Chris Dudley","placed on IR with right shoulder rotator cuff weakness"
"14200","2001-12-15","Blazers"," Ruben Boumtje Boumtje","","activated from IL"
"15200","2001-12-15","Mavericks",""," Johnny Newman","placed on IL with left knee tendinitis"
"16200","2001-12-15","Mavericks"," Donnell Harvey","","activated from IL"
"17200","2001-12-15","Spurs",""," Danny Ferry","placed on IL with lower back spasms"
"18200","2001-12-16","Sonics"," Desmond Mason","","activated from IL"
"19200","2001-12-18","Heat",""," Sean Marks","placed on IR with cervican strain"
"20200","2001-12-18","Kings"," Lawrence Funderburke","","activated from IL"
"21225","2001-12-18","Rockets",""," Glen Rice Sr.","placed on IR with strained patellar tendon in right knee"
"22208","2001-12-18","Rockets"," Jason Collier","","activated from IL"
"23200","2001-12-18","Rockets"," Steve Francis","","activated from IL"
"24200","2001-12-18","Timberwolves",""," Terrell Brandon","placed on IR with synovitis / loose body in left knee"
"25200","2001-12-18","Timberwolves"," Maurice Evans","","activated from IL"
"26200","2001-12-20","Bulls",""," A.J. Guyton","placed on IL with strained left hamstring"
"2768","2001-12-20","Bulls"," Ron Artest / Metta World Peace","","activated from IL"
"3201","2001-12-20","Clippers",""," Harold Jamison","placed on IR with bruised left shin"
"4201","2001-12-20","Raptors",""," Chris Childs","placed on IR with sore right ankle"
"5201","2001-12-20","Raptors"," Carlos Arroyo","","activated from IL"
"6201","2001-12-21","Heat",""," Anthony Carter","placed on IL with abdominal strain"
"7201","2001-12-21","Heat"," Malik Allen","","activated from IL"
"8201","2001-12-21","Jazz",""," Quincy Lewis","placed on IL with left Achilles tendinitis"
"9201","2001-12-21","Jazz"," Bryon Russell","","activated from IL"
"10201","2001-12-21","Spurs",""," Jason Hart","placed on IL with strained lower back"
"11201","2001-12-21","Spurs"," Mark Bryant","","activated from IL"
"12201","2001-12-22","Magic",""," Steven Hunter","placed on IL with plantar fasciatis in right foot"
"13201","2001-12-22","Magic"," Jeryl Sasser","","activated from IL"
"14201","2001-12-25","Lakers",""," Shaquille O'Neal","placed on IR with sore left toe / right big toe (P)"
"15201","2001-12-25","Lakers"," Jelani McCoy","","activated from IL"
"16201","2001-12-26","Wizards",""," Richard Hamilton","placed on IR with partially torn right groin"
"17201","2001-12-26","Wizards"," Courtney Alexander","","activated from IL"
"18201","2001-12-27","Suns",""," Iakovos Tsakalidis / Jake Tsakalidis","placed on IL with sprained right hand"
"19201","2001-12-27","Suns"," Daniel Santiago","","activated from IL"
"20201","2001-12-28","76ers"," Craig Claxton / Speedy Claxton","","activated from IL"
"21226","2001-12-28","Mavericks"," Omar Cook","","activated from IL"
"22209","2001-12-28","Raptors",""," Hakeem Olajuwon","placed on IL with infected toe on left foot"
"23201","2001-12-28","Raptors"," Michael Stewart","","activated from IL"
"24201","2001-12-28","Rockets",""," Dan Langhi","placed on IL with left ankle tendinitis"
"25201","2001-12-28","Rockets"," Steve Francis","","activated from IL"
"26201","2001-12-29","Mavericks",""," Donnell Harvey","placed on IL with sprained right ankle"
"2769","2001-12-29","Mavericks",""," Evan Eschmeyer","placed on IL with sprained left ankle"
"3202","2001-12-29","Mavericks"," Greg Buckner","","activated from IL"
"4202","2001-12-29","Mavericks"," Johnny Newman","","activated from IL"
"5202","2001-12-30","76ers",""," Damone Brown","placed on IL with strained lower back"
"6202","2001-12-30","Blazers",""," Mitchell Butler","placed on IL with sprained left knee"
"7202","2001-12-30","Blazers"," Chris Dudley","","activated from IL"
"8202","2001-12-30","Timberwolves",""," Maurice Evans","placed on IR with posterior tibialis tendinitis in left knee"
"9202","2001-12-30","Timberwolves"," Felipe Lopez","","activated from IL"
"10202","2002-01-01","Blazers",""," Zach Randolph","placed on IL with sprained right ankle"
"11202","2002-01-01","Blazers"," Scottie Pippen","","activated from IL"
"12202","2002-01-02","Mavericks",""," Shawn Bradley","placed on IL with bone bruise in right knee"
"13202","2002-01-02","Raptors",""," Michael Stewart","placed on IL"
"14202","2002-01-02","Raptors"," Chris Childs","","activated from IL"
"15202","2002-01-02","Warriors",""," Cedric Henderson (E.)","placed on IL with left knee tendinitis"
"16202","2002-01-02","Warriors"," Gilbert Arenas","","activated from IL"
"17202","2002-01-03","Bulls",""," Dalibor Bagaric","placed on IL with lower back pain"
"18202","2002-01-03","Bulls"," A.J. Guyton","","activated from IL"
"19202","2002-01-04","Cavaliers",""," Trajan Langdon","placed on IL with sprained right ankle"
"20202","2002-01-04","Cavaliers"," Jeff Trepagnier","","activated from IL"
"21227","2002-01-04","Lakers",""," Jelani McCoy","placed on IL with bone bruise in right foot"
"22210","2002-01-04","Lakers"," Shaquille O'Neal","","activated from IL"
"23202","2002-01-04","Magic",""," Jeryl Sasser","placed on IL with right knee patella tendinitis"
"24202","2002-01-04","Magic"," Steven Hunter","","activated from IL"
"25202","2002-01-04","Raptors",""," Morris Peterson","placed on IL with broken right index finger (out 6-8 weeks)"
"26202","2002-01-04","Raptors"," Mamadou N'diaye","","activated from IL"
"2770","2002-01-04","Sonics"," Jerome James","","activated from IL"
"3203","2002-01-05","Pistons",""," Rodney White","placed on IL with sprained left ankle"
"4203","2002-01-05","Pistons"," Brian Cardinal","","activated from IL"
"5203","2002-01-06","Nuggets"," Chris Andersen","","activated from IL"
"6203","2002-01-07","Magic",""," Patrick Ewing Sr.","placed on IR with right calf / Achilles tendinitis"
"7203","2002-01-08","Hawks"," Chris Crawford (Lee)","","activated from IL (move made to get active roster up to minimum of 11 players)"
"8203","2002-01-08","Mavericks",""," Michael Finley","placed on IL with strained left hamstring"
"9203","2002-01-08","Mavericks"," Shawn Bradley","","activated from IL"
"10203","2002-01-08","Raptors"," Hakeem Olajuwon","","activated from IL"
"11203","2002-01-08","Suns",""," Tom Gugliotta","placed on IL with left quadriceps tendinitis"
"12203","2002-01-08","Suns"," Iakovos Tsakalidis / Jake Tsakalidis","","activated from IL"
"13203","2002-01-09","Hawks",""," Chris Crawford (Lee)","placed on IL with a torn ACL in left knee"
"14203","2002-01-09","Pacers",""," Jamison Brewer","placed on IL with strained right groin"
"15203","2002-01-09","Pacers"," Primoz Brezec","","activated from IL"
"16203","2002-01-10","Hawks",""," Toni Kukoc","placed on IL with broken right wrist"
"17203","2002-01-10","Hawks"," Theo Ratliff","","activated from IL"
"18203","2002-01-10","Pistons",""," Dana Barros","placed on IR with pulled left hamstring"
"19203","2002-01-10","Pistons"," Victor Alexander","","activated from IL"
"20203","2002-01-10","Raptors",""," Mamadou N'diaye","placed on IL with left quadriceps tendinitis"
"21228","2002-01-11","Spurs",""," Bruce Bowen","placed on IR with broken right middle finger"
"22211","2002-01-11","Spurs"," Stephen Jackson","","activated from IL"
"23203","2002-01-12","Knicks",""," Travis Knight","placed on IL with bruised right knee"
"24203","2002-01-12","Knicks"," Larry Robinson (b. 1968-01-11)","","activated from IL"
"25203","2002-01-12","Timberwolves",""," Gary Trent","placed on IR with high left ankle sprain"
"26203","2002-01-12","Timberwolves"," Maurice Evans","","activated from IL"
"2771","2002-01-12","Wizards",""," Courtney Alexander","placed on IL with sprained left ankle"
"3204","2002-01-13","Blazers",""," Ruben Boumtje Boumtje","placed on IL with sprained left ankle"
"4204","2002-01-13","Blazers"," Zach Randolph","","activated from IL"
"5204","2002-01-14","76ers",""," Jabari Smith","placed on IL with left knee tendinitis"
"6204","2002-01-14","Hawks",""," Emanual Davis","placed on IR with a broken navicular bone in left wrist"
"7204","2002-01-14","Mavericks",""," Charlie Bell","placed on IL with sprained right ankle"
"8204","2002-01-14","Mavericks"," Donnell Harvey","","activated from IL"
"9204","2002-01-14","Warriors",""," Mookie Blaylock","placed on IL with strained right calf"
"10204","2002-01-14","Warriors"," Dean Oliver","","activated from IL"
"11204","2002-01-15","Bulls",""," A.J. Guyton","placed on IL with left elbow bursitis"
"12204","2002-01-15","Bulls"," Eddie Robinson","","activated from IL"
"13204","2002-01-15","Hornets",""," Jerome Moiso","placed on IL with left knee tendinitis"
"14204","2002-01-15","Hornets"," George Lynch","","activated from IL"
"15204","2002-01-15","Spurs",""," (William) Tony Parker","placed on IL with sprained right ankle"
"16204","2002-01-15","Spurs"," Jason Hart","","activated from IL"
"17204","2002-01-17","Rockets",""," Walt Williams","placed on IL with sprained right ankle"
"18204","2002-01-17","Rockets"," Dan Langhi","","activated from IL"
"19204","2002-01-18","Wizards"," Christian Laettner","","activated from IL"
"20204","2002-01-19","Knicks",""," Larry Robinson (b. 1968-01-11)","placed on IL with right knee patella tendinitis"
"21229","2002-01-19","Knicks"," Clarence Weatherspoon","","activated from IL"
"22212","2002-01-19","Timberwolves",""," William Avery / Will Avery","placed on IL"
"23204","2002-01-19","Timberwolves"," Terrell Brandon","","activated from IL"
"24204","2002-01-21","Cavaliers",""," Lamond Murray","placed on IR with broken nose"
"25204","2002-01-21","Cavaliers"," Trajan Langdon","","activated from IL"
"26204","2002-01-22","Magic"," Jeryl Sasser","","activated from IL"
"2772","2002-01-23","Hornets",""," Robert Traylor / Tractor Traylor","placed on IL with sprained right ankle"
